Date,EST Time,Hour,GMT Time,Date in Zulu/GMT,Retailer,Club #,Lane #,System_ID,Serial #,IPAddress,Message,S Code,E Code,Unique Data,Short Message,Message Explanation
1/7/2021,4:16 AM,4:00 AM,9:16 AM,2021-01-07T09:16:50.220Z,BJ's Wholesale Club,11,59,59.10151,41AFCNG:CC,10.101.24.41,ABC123,13,50,53534420433a203030332500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/6/2021,9:22 AM,9:00 AM,2:22 PM,2021-01-06T14:22:22.516Z,BJ's Wholesale Club,13,45,45.10151,41AEDCV:CC,10.101.84.41,ABC123,13,50,53534420433a203032352500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/6/2021,10:50 AM,10:00 AM,3:50 PM,2021-01-06T15:50:33.487Z,BJ's Wholesale Club,13,45,45.10151,41AEDCV:CC,10.101.84.41,ABC123,13,50,53534420433a203032352500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/6/2021,2:25 PM,2:00 PM,7:25 PM,2021-01-06T19:25:26.922Z,BJ's Wholesale Club,13,52,52.10151,41AEDCV:CC,10.101.84.41,ABC123,13,50,53534420433a203032392500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/7/2021,12:15 AM,12:00 AM,5:15 AM,2021-01-07T05:15:07.991Z,BJ's Wholesale Club,13,CC,CC.10151,41AEDCV:CC,10.101.84.41,ABC123,13,50,53534420433a203031352500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/7/2021,12:15 AM,12:00 AM,5:15 AM,2021-01-07T05:15:08.011Z,BJ's Wholesale Club,13,DD,DD.10150,41AEDNX:DD,10.101.84.42,ABC123,13,50,53534420433a203031372500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/7/2021,12:50 AM,12:00 AM,5:50 AM,2021-01-07T05:50:26.550Z,BJ's Wholesale Club,13,CC,CC.10151,41AEDCV:CC,10.101.84.41,ABC123,13,50,53534420433a203031352500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/7/2021,12:50 AM,12:00 AM,5:50 AM,2021-01-07T05:50:26.550Z,BJ's Wholesale Club,13,DD,DD.10150,41AEDNX:DD,10.101.84.42,ABC123,13,50,53534420433a203031372500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/7/2021,1:15 AM,1:00 AM,6:15 AM,2021-01-07T06:15:25.321Z,BJ's Wholesale Club,13,44,44.10151,41AEDCV:CC,10.101.84.41,ABC123,13,50,53534420433a203032352500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/7/2021,1:15 AM,1:00 AM,6:15 AM,2021-01-07T06:15:25.359Z,BJ's Wholesale Club,13,40,40.10151,41AEDCV:CC,10.101.84.41,ABC123,13,50,53534420433a203032352500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/7/2021,1:15 AM,1:00 AM,6:15 AM,2021-01-07T06:15:25.359Z,BJ's Wholesale Club,13,41,41.10151,41AEDCV:CC,10.101.84.41,ABC123,13,50,53534420433a203032342500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
