fecha,variable1,variable2
2022-12-23,375.869925,4.784175
2022-12-24,376.3389,4.78425
2022-12-25,376.64355,4.78425
2022-12-26,376.902975,4.78425
2022-12-27,377.201325,4.78425
2022-12-28,377.60355,4.78425
2022-12-29,377.98365,4.78425
2022-12-30,378.618225,4.797975
2022-12-31,379.05675,4.79925
2023-01-01,379.300125,4.79925
2023-01-02,379.5537,4.79925
2023-01-03,379.90035,4.79925
2023-01-04,380.564775,4.79925
2023-01-05,381.1857,4.79925
2023-01-06,382.576575,4.79925
2023-01-07,383.5185,4.79925
2023-01-08,384.4533,4.7994
2023-01-09,384.8154,4.7994
2023-01-10,386.1879,4.80585
2023-01-11,388.29195,4.810875
2023-01-12,390.578175,4.8342
2023-01-13,392.941875,4.8789
2023-01-14,395.665725,4.94445
2023-01-15,397.2456,4.959225
2023-01-16,397.6536,4.959225
2023-01-17,400.53375,5.039175
2023-01-18,402.80925,5.041725
2023-01-19,405.1512,5.0475
2023-01-20,407.470875,5.056275
2023-01-21,409.835025,5.08245
2023-01-22,411.359475,5.087775
2023-01-23,411.828075,5.09025
2023-01-24,414.726075,5.181975
2023-01-25,417.094875,5.18355
2023-01-26,419.732325,5.24145
2023-01-27,422.146725,5.27325
2023-01-28,424.628625,5.396475
2023-01-29,426.65775,5.4267
2023-01-30,427.118025,5.426775
2023-01-31,430.30815,5.608725
2023-02-01,432.993225,5.629425
2023-02-02,435.996075,5.657475
2023-02-03,438.812325,5.657775
2023-02-09,450.122475,5.77755
2023-02-10,451.328775,5.77965
2023-02-11,454.093125,5.8419
2023-02-12,455.89335,5.862375
2023-02-13,456.384675,5.8635
2023-02-14,459.4083,5.874675
2023-02-15,461.441475,5.884875
2023-02-16,464.37255,5.892225
2023-02-17,467.109825,5.950275
2023-02-18,470.0385,6.0012
2023-02-19,471.890025,6.0213
2023-02-20,472.36095,6.023625
2023-02-21,476.107875,6.06045
2023-02-22,478.8501,6.069675
2023-02-23,482.58795,6.12255
2023-02-24,485.447625,6.195
2023-02-25,487.836225,6.2127
2023-02-26,489.7185,6.2187
2023-02-27,490.193025,6.218925
2023-02-28,494.3265,6.312075
2023-03-01,498.110025,6.52035
2023-03-02,502.4322,6.688425
2023-03-03,506.076075,6.84585
2023-03-04,509.408475,7.07805
2023-03-05,511.33725,7.0953
2023-03-06,511.8294,7.107825
2023-03-07,515.897475,7.246575
2023-03-08,518.755575,7.270875
2023-03-09,523.05675,7.506525
2023-03-10,525.720075,7.52205
2023-03-11,528.566775,7.58055
2023-03-12,530.373,7.600125
2023-03-14,536.427375,8.240925
2023-03-15,539.53755,8.2818
2023-03-16,543.933525,8.521725
2023-03-17,547.131225,8.590425
2023-03-18,548.6382,8.611725
2023-03-19,549.60105,8.620425
2023-03-20,550.048875,8.620425
2023-03-21,550.4805,8.620425
2023-03-22,553.726125,8.69865
2023-03-23,558.05085,8.835825
2023-03-24,561.411075,8.943225
2023-03-25,565.2702,9.187725
2023-03-26,567.4839,9.2682
2023-03-27,567.9462,9.2718
2023-03-28,572.421225,9.46515
2023-03-29,576.20565,9.6018
2023-03-30,581.37795,9.813375
2023-03-31,584.535375,9.84225
2023-04-01,586.2036,9.84465
2023-04-02,587.55255,9.844725
2023-04-03,587.9142,9.85395
2023-04-04,588.790125,9.85395
2023-04-05,589.47075,9.85395
2023-04-06,590.025975,9.855975
2023-04-07,590.4597,9.855975
2023-04-08,590.756325,9.855975
2023-04-09,591.2568,9.866475
2023-04-10,591.526275,9.866475
2023-04-11,592.443975,9.866475
2023-04-12,593.694225,9.866475
2023-04-13,595.120425,9.8709
2023-04-14,596.314725,9.8709
2023-04-15,597.353925,9.8709
2023-04-16,597.686475,9.8709
2023-04-17,597.993975,9.8709
2023-04-18,600.94725,9.979125
2023-04-19,604.61685,10.005
2023-04-20,608.937975,10.02795
2023-04-21,612.656175,10.071
2023-04-22,616.618875,10.24335
2023-04-23,618.76875,10.266825
2023-04-24,619.13535,10.266825
2023-04-25,623.828175,10.317975
2023-04-26,627.407475,10.3407
2023-04-27,632.536275,10.5669
2023-04-28,637.45725,10.866825
2023-04-29,640.515,10.884075
2023-04-30,642.487425,10.9158
2023-05-01,643.052325,10.918425
2023-05-02,643.5099,10.9269
2023-05-03,647.844825,11.154825
2023-05-04,652.32915,11.262825
2023-05-05,655.66695,11.313
2023-05-06,656.748675,11.357775
2023-05-07,657.479625,11.370225
2023-05-08,657.99585,11.383875
2023-05-09,663.4734,11.693625
2023-05-10,667.20975,11.71695
